node,traffic
Multiple instance learning,1288
Multiple-instance learning,498
Multiplicative weight update method,2779
Multitask optimization,197
Multivariate adaptive regression spline,2362
Native-language identification,443
Nature Machine Intelligence,1550
Neural modeling fields,746
Neural network quantum states,995
Normalization (machine learning),3064
Novelty detection,414
Offline learning,657
Optuna,498
Overfitting,11586
Paraphrasing (computational linguistics),1079
Parity learning,481
Pattern language (formal languages),805
Pattern recognition,10387
Perceiver,999
PHerc. Paris. 4,504
Phi coefficient,4651
Predictive learning,858
Predictive state representation,298
Preference learning,537
Prior knowledge for pattern recognition,367
Proactive learning,220
Proaftn,149
Probabilistic numerics,680
Probability matching,1011
Product of experts,691
Products and applications of OpenAI,5938
Programming by example,660
Prompt engineering,33307
Proximal gradient methods for learning,1119
Purged cross-validation,281
Pythia (machine learning),259
Quantification (machine learning),236
Quantum machine learning,7547
Rabbit r1,6954
Rademacher complexity,2303
Random feature,843
Reasoning language model,6051
Reciprocal human machine learning,305
Relational data mining,142
Reparameterization trick,2144
Right to explanation,1533
Robot learning,963
Robotic process automation,13244
ROCm,8026
Rule induction,597
Sample complexity,1108
Science machine learning,192
Self-supervised learning,9926
Semantic analysis (machine learning),2230
Semantic folding,322
Semi-supervised learning,2256
Sequence labeling,329
Similarity learning,1128
Socially assistive robot,223
Lynda Soderholm,104
Solomonoff's theory of inductive inference,2684
Spatial embedding,361
Spike-and-slab regression,938
Stability (learning theory),709
Statistical learning theory,3860
Statistical relational learning,599
Structural risk minimization,470
Structured sparsity regularization,584
Surrogate model,3891
Symbolic regression,3769
Tensor (machine learning),4249
TensorFlow Hub,152
Three-factor learning,285
Time series,19559
Timeline of machine learning,6045
Toronto Declaration,241
Transduction (machine learning),1711
Transfer learning,7126
Ugly duckling theorem,1101
Uncertain data,232
Under-fitting,27
Underfitting,89
Uniform convergence in probability,493
Universal portfolio algorithm,307
Upper Confidence Bound,414
VACUUM,150
Validation set,147
Vector database,13940
Version space learning,521
Weak supervision,4691
Weight initialization,4518
